Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Magnus Moller,OT,Denmark,Denmark,DENM,"
                                            6",8 ," 300
                                        ",0.8578,Illinois,2022,969.0,86.0,1.0,3,Illinois,//247sports.com/player/magnus-moller-46128073
Isaiah Adams,OT,Garden City C.C.,Garden City,KS,"
                                            6",6 ," 320
                                        ",0.8569,Illinois,2022,27.0,4.0,10.0,3,Illinois,//247sports.com/player/isaiah-adams-46125346
Hunter Whitenack,OT,New Prairie,New Carlisle,IN,"
                                            6",7 ," 290
                                        ",0.8551,Illinois,2022,,95.0,19.0,3,Illinois,//247sports.com/player/hunter-whitenack-46094194
Matt Fries,OT,Cranford Sr,Cranford,NJ,"
                                            6",5 ," 275
                                        ",0.854,Illinois,2022,,97.0,21.0,3,Illinois,//247sports.com/player/matt-fries-46103691
Cade Goldman,OT,Hickory Ridge,Harrisburg,NC,"
                                            6",4 ," 260
                                        ",0.8343,Illinois,2022,,154.0,36.0,3,Charlotte,//247sports.com/player/cade-goldman-46100162
David Siegel,OT,Hun School,Princeton,NJ,"
                                            6",6 ," 289
                                        ",0.8315,Illinois,2022,,163.0,35.0,3,Vanderbilt,//247sports.com/player/david-siegel-46104005
Domani Jackson,CB,Mater Dei,Santa Ana,CA,"
                6",1 ," 185
            ",0.9952,Illinois,2022,5.0,2.0,1.0,5,USC,//247sports.com/player/domani-jackson-46057101
Toriano Pride,CB,East St. Louis,East Saint Louis,IL,"
                5",11 ," 185
            ",0.9673,Illinois,2022,80.0,8.0,3.0,4,Clemson,//247sports.com/player/toriano-pride-46058972
Khamauri Rogers,CB,Holmes County,Lexington,MS,"
                6",0 ," 150
            ",0.9525,Illinois,2022,118.0,15.0,3.0,4,Miami,//247sports.com/player/khamauri-rogers-46081427
Jalil Tucker,CB,Lincoln,San Diego,CA,"
                6",0 ," 180
            ",0.9417,Illinois,2022,145.0,17.0,8.0,4,Oregon,//247sports.com/player/jalil-tucker-46093963
Bobby Taylor,CB,Katy,Katy,TX,"
                6",1 ," 180
            ",0.9233,Illinois,2022,193.0,25.0,30.0,4,Texas A&M,//247sports.com/player/bobby-taylor-46081751
Cam Johnson,CB,St. Frances Academy,Baltimore,MD,"
                6",0 ," 165
            ",0.8989,Illinois,2022,302.0,34.0,6.0,4,Virginia Tech,//247sports.com/player/cam-johnson-46084571
Keionte Scott,CB,Snow College,Ephraim,UT,"
                6",0 ," 185
            ",0.8959,Illinois,2022,3.0,1.0,1.0,4,Auburn,//247sports.com/player/keionte-scott-46116368
Ja'Cari Henderson,CB,Seminole,Sanford,FL,"
                6",0 ," 160
            ",0.8822,Illinois,2022,468.0,45.0,60.0,3,UCF,//247sports.com/player/jacari-henderson-46086232
Jalon Peoples,CB,Cedar Hill,Cedar Hill,TX,"
                6",0 ," 175
            ",0.8796,Illinois,2022,509.0,48.0,73.0,3,Texas Tech,//247sports.com/player/jalon-peoples-46077104
Jaden Harris,CB,Riverwood,Atlanta,GA,"
                6",0 ," 180
            ",0.8777,Illinois,2022,546.0,51.0,56.0,3,Miami,//247sports.com/player/jaden-harris-46103581
