Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Will Johnson,CB,Grosse Pointe South,Grosse Pointe,MI,6,3.0,190,0.9925,Alabama,2022,14.0,3.0,1.0,5,Michigan,//247sports.com/player/will-johnson-46058580
Denver Harris,CB,North Shore,Houston,TX,6,1.0,180,0.9889,Alabama,2022,23.0,4.0,6.0,5,Texas A&M,//247sports.com/player/denver-harris-46081216
Daylen Everette,CB,IMG Academy,Bradenton,FL,6,1.0,185,0.9874,Alabama,2022,28.0,6.0,6.0,5,Georgia,//247sports.com/player/daylen-everette-46085466
Jeadyn Lukus,CB,Mauldin,Mauldin,SC,6,2.5,185,0.986,Alabama,2022,30.0,7.0,1.0,5,Clemson,//247sports.com/player/jeadyn-lukus-46095135
Toriano Pride,CB,East St. Louis,East Saint Louis,IL,5,11.0,185,0.9673,Alabama,2022,80.0,8.0,3.0,4,Clemson,//247sports.com/player/toriano-pride-46058972
Julian Humphrey,CB,Clear Lake,Houston,TX,6,1.0,185,0.9655,Alabama,2022,81.0,9.0,13.0,4,Georgia,//247sports.com/player/julian-humphrey-46078972
Terrance Brooks,CB,Little Elm,Little Elm,TX,5,11.0,190,0.9643,Alabama,2022,83.0,10.0,14.0,4,Texas,//247sports.com/player/terrance-brooks-46099495
Earl Little Jr.,CB,American Heritage,Fort Lauderdale,FL,6,0.0,175,0.9552,Alabama,2022,106.0,12.0,16.0,4,Alabama,//247sports.com/player/earl-little-jr-46082962
Trequon Fegans,CB,Thompson,Alabaster,AL,6,1.0,181,0.953,Alabama,2022,117.0,14.0,7.0,4,Alabama,//247sports.com/player/trequon-fegans-46058489
Khamauri Rogers,CB,Holmes County,Lexington,MS,6,0.0,150,0.9525,Alabama,2022,118.0,15.0,3.0,4,Miami,//247sports.com/player/khamauri-rogers-46081427
Laterrance Welch,CB,Acadiana,Lafayette,LA,6,1.0,180,0.9503,Alabama,2022,127.0,16.0,12.0,4,LSU,//247sports.com/player/laterrance-welch-46101177
Jaylon Guilbeau,CB,Memorial,Port Arthur,TX,5,11.5,175,0.9366,Alabama,2022,160.0,20.0,24.0,4,Texas,//247sports.com/player/jaylon-guilbeau-46085543
JaDarian Rhym,CB,Valdosta,Valdosta,GA,6,1.0,170,0.9286,Alabama,2022,182.0,22.0,20.0,4,Auburn,//247sports.com/player/jadarian-rhym-46101331
Austin Ausberry,CB,University Lab,Baton Rouge,LA,6,0.0,195,0.9275,Alabama,2022,185.0,23.0,13.0,4,Auburn,//247sports.com/player/austin-ausberry-46099542
Jyaire Brown,CB,Lakota West,West Chester,OH,6,0.0,178,0.9237,Alabama,2022,191.0,24.0,8.0,4,Ohio State,//247sports.com/player/jyaire-brown-46099473
Bobby Taylor,CB,Katy,Katy,TX,6,1.0,180,0.9233,Alabama,2022,193.0,25.0,30.0,4,Texas A&M,//247sports.com/player/bobby-taylor-46081751
Tayon Holloway,CB,Green Run,Virginia Beach,VA,6,0.0,165,0.9192,Alabama,2022,204.0,26.0,8.0,4,North Carolina,//247sports.com/player/tayon-holloway-46086344
Jaeden Gould,CB,Bergen Catholic,Oradell,NJ,6,2.0,190,0.9084,Alabama,2022,254.0,31.0,3.0,4,Nebraska,//247sports.com/player/jaeden-gould-46081131
Benjamin Morrison,CB,Brophy College Preparatory,Phoenix,AZ,6,0.5,175,0.8958,Alabama,2022,334.0,36.0,5.0,4,Notre Dame,//247sports.com/player/benjamin-morrison-46097106
Nick Cull,CB,Seminole County,Donalsonville,GA,5,11.0,175,0.8891,Alabama,2022,396.0,40.0,35.0,3,Ole Miss,//247sports.com/player/nick-cull-46113833
Myles Pollard,CB,Ravenwood,Brentwood,TN,6,2.0,185,0.8742,Alabama,2022,608.0,54.0,20.0,3,Michigan,//247sports.com/player/myles-pollard-46085804
Dainsus Miller,CB,Creekside,Fairburn,GA,5,11.0,160,0.8677,Alabama,2022,745.0,70.0,77.0,3,Marshall,//247sports.com/player/dainsus-miller-46097066
Tyler Woodard,CB,Freedom Prep Academy,Memphis,TN,6,2.0,186,0.8638,Alabama,2022,829.0,78.0,26.0,3,,//247sports.com/player/tyler-woodard-46100102
Sonny Styles,S,Pickerington Central,Pickerington,OH,6,4.0,215,0.9938,Alabama,2022,12.0,1.0,2.0,5,Ohio State,//247sports.com/player/sonny-styles-46103419
Jacoby Mathews,S,Ponchatoula,Ponchatoula,LA,6,2.0,193,0.9817,Alabama,2022,39.0,2.0,3.0,4,Texas A&M,//247sports.com/player/jacoby-mathews-46082680
Kamari Wilson,S,IMG Academy,Bradenton,FL,6,0.0,200,0.9807,Alabama,2022,44.0,3.0,7.0,4,Florida,//247sports.com/player/kamari-wilson-46058753
Sam McCall,S,Lake Gibson,Lakeland,FL,6,0.0,182,0.9791,Alabama,2022,48.0,4.0,8.0,4,Florida State,//247sports.com/player/sam-mccall-46080648
Xavier Nwankpa,S,Southeast Polk,Des Moines,IA,6,2.0,200,0.9773,Alabama,2022,53.0,5.0,1.0,4,Iowa,//247sports.com/player/xavier-nwankpa-46086140
Zion Branch,S,Bishop Gorman,Las Vegas,NV,6,2.0,195,0.9758,Alabama,2022,58.0,6.0,1.0,4,USC,//247sports.com/player/zion-branch-46058533
Deyon Bouie,S,Bainbridge,Bainbridge,GA,5,11.0,185,0.9712,Alabama,2022,68.0,7.0,7.0,4,Texas A&M,//247sports.com/player/deyon-bouie-46056593
Bryce Anderson,S,West Brook,Beaumont,TX,6,0.0,190,0.9691,Alabama,2022,77.0,8.0,12.0,4,Texas A&M,//247sports.com/player/bryce-anderson-46058493
Keon Sabb,S,IMG Academy,Bradenton,FL,6,2.0,200,0.9638,Alabama,2022,84.0,9.0,12.0,4,Michigan,//247sports.com/player/keon-sabb-46081324
Bryan Allen Jr.,S,Aledo,Aledo,TX,6,0.0,185,0.9506,Alabama,2022,125.0,10.0,20.0,4,Texas,//247sports.com/player/bryan-allen-jr-46053225
Chace Biddle,S,Garland,Garland,TX,6,0.0,190,0.9282,Alabama,2022,183.0,14.0,29.0,4,TCU,//247sports.com/player/chace-biddle-46099832
Sherrod Covil,S,Oscar Smith,Chesapeake,VA,6,0.0,185,0.9202,Alabama,2022,203.0,16.0,7.0,4,Clemson,//247sports.com/player/sherrod-covil-46099958
Cristian Driver,S,Liberty Christian,Argyle,TX,5,11.0,185,0.9142,Alabama,2022,225.0,18.0,36.0,4,Penn State,//247sports.com/player/cristian-driver-46076802
Myles Rowser,S,Belleville,Belleville,MI,6,0.0,185,0.9092,Alabama,2022,248.0,20.0,4.0,4,Campbell,//247sports.com/player/myles-rowser-46058611
Devin Moore,S,Naples,Naples,FL,6,3.0,190,0.9064,Alabama,2022,265.0,21.0,29.0,4,Florida,//247sports.com/player/devin-moore-46085619
Tre Donaldson,S,Florida State Univ. School,Tallahassee,FL,6,1.0,190,0.9043,Alabama,2022,274.0,22.0,31.0,4,Auburn,//247sports.com/player/tre-donaldson-46101161
Larry Turner-Gooden,S,Bishop Alemany,Mission Hills,CA,6,0.0,179,0.9039,Alabama,2022,275.0,23.0,23.0,4,Texas,//247sports.com/player/larry-turner-gooden-46056208
Markeith Williams,S,Evans,Orlando,FL,6,1.0,170,0.8998,Alabama,2022,300.0,25.0,34.0,4,Miami,//247sports.com/player/markeith-williams-46098654
Jaylin Marshall,S,Western,Fort Lauderdale,FL,6,3.0,190,0.8913,Alabama,2022,377.0,33.0,48.0,4,Georgia Tech,//247sports.com/player/jaylin-marshall-46080131
Jake Pope,S,Buford,Buford,GA,6,1.0,190,0.8884,Alabama,2022,403.0,34.0,38.0,3,Alabama,//247sports.com/player/jake-pope-46098355
Alfonzo Allen,S,Miami Central,Miami,FL,5,10.0,185,0.8824,Alabama,2022,465.0,43.0,58.0,3,Baylor,//247sports.com/player/alfonzo-allen-46084012
Anthony Brown,S,Milan,Milan,TN,6,0.0,185,0.8776,Alabama,2022,553.0,49.0,17.0,3,Arkansas,//247sports.com/player/anthony-brown-46103613
Edric Weldon,S,South Broward,Hollywood,FL,6,3.0,200,0.8736,Alabama,2022,616.0,54.0,82.0,3,Campbell,//247sports.com/player/edric-weldon-46110371
Malaki Starks,ATH,Jefferson,Jefferson,GA,6,1.0,200,0.9905,Alabama,2022,19.0,1.0,4.0,5,Georgia,//247sports.com/player/malaki-starks-46094592
Isaiah Bond,ATH,Buford,Buford,GA,5,10.5,175,0.9774,Alabama,2022,52.0,2.0,6.0,4,Alabama,//247sports.com/player/isaiah-bond-46097889
Kendrick Law,ATH,Captain Shreve,Shreveport,LA,5,11.0,195,0.9629,Alabama,2022,86.0,3.0,8.0,4,Alabama,//247sports.com/player/kendrick-law-46100282
Azareye'h Thomas,ATH,Niceville,Niceville,FL,6,2.0,181,0.9609,Alabama,2022,90.0,4.0,14.0,4,Florida State,//247sports.com/player/azareyeh-thomas-46099405
Amari Niblack,ATH,Lakewood,Saint Petersburg,FL,6,4.0,220,0.9416,Alabama,2022,146.0,5.0,17.0,4,Alabama,//247sports.com/player/amari-niblack-46080272
